CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
11210;0;0;
19208;321;0;
27208;1278;0;
35210;3090;0;
43209;6165;0;
51207;20921;11293;
59208;33558;19398;
67189;45192;26586;
75209;59054;32471;
83209;72270;37927;
91206;84722;42647;
99207;95692;45890;
107208;107206;49443;
115210;115207;49443;
123207;123193;49443;
131208;131202;49443;
139208;139207;49443;
147208;147118;49443;
155209;155188;49443;
163208;158361;49443;
171208;158378;49443;
179207;165627;49443;
187207;173629;49443;
195209;179743;49443;
203208;184950;54700;
211208;200957;62719;
219207;206795;63462;
227208;206840;63462;
235208;208731;65895;
243209;217857;73537;
251208;223385;73537;
259208;234021;76939;
267208;250215;84974;
275203;262505;93067;
283209;269095;99891;
